Customer ID,age,Product Name,Product Type,Description,Sport,Product ID
CID010,64,HyperFlex Elbow Pads,Pads,Flexible and lightweight elbow pads for unrestricted movement and enhanced protection.,hockey,PID022
CID010,64,Fresh Feet Deodorizer Spray,Deodorizer,Eliminates unpleasant odors from basketball shoes.,basketball,PID062
CID010,64,Pitching Target Net,Net,Portable net for practicing pitching accuracy and pitch development.,baseball,PID017
CID010,64,GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
CID011,59,Whisper Quiet Cart Umbrella,Golf Umbrella,Large umbrella designed for use on a golf cart,golf,PID032
CID012,60,Aqua-Grip Golf Gloves,Golf Gloves,Improve grip on the club,golf,PID035
CID013,51,Mini Hoop (Size 6),Ball,Smaller sized basketball for younger players to develop proper grip and shooting mechanics.,basketball,PID065
CID014,44,Power Swing Training Aid,Swing Trainer,Tool to improve golf swing mechanics,golf,PID039
CID015,26,CrossOver Magic Dribbling Aid,Training Aid,Hand-held training aid to improve dribbling skills and ball handling.,basketball,PID050
CID016,34,Laser Line Putting Laser,Putting Laser,Projects a laser line to aid putting alignment,golf,PID043
CID017,39,TrueFit Shoulder Pads,Pads,Adjustable shoulder pads for a comfortable and secure fit.,hockey,PID023
CID018,35,Net Guardian Hockey Net,Net,Durable hockey net designed to withstand powerful slapshots.,hockey,PID026
CID019,25,Tempest Waterproof Jacket,Golf Jacket,Waterproof jacket for playing in wet conditions,golf,PID036
CID019,25,SweatStopper Wristbands,Sweatband,Absorbent wristbands to keep sweat out of your eyes during play.,basketball,PID064
CID019,25,SonicWind Hockey Stick,Stick,Lightweight and responsive hockey stick for optimal performance on the ice.,hockey,PID019
CID019,25,Laser Line Putting Laser,Putting Laser,Projects a laser line to aid putting alignment,golf,PID043
CID019,25,Flight Path Alignment Sticks (Set of 3),Alignment Sticks,Rods used to visualize clubface and swing path,golf,PID041
CID019,25,Grip Master Practice Swing Tool,Swing Trainer,Tool to strengthen grip muscles,golf,PID045
CID019,25,Arc Shot Compression Sleeve,Sleeve,Compression sleeve for promoting blood flow and reducing muscle fatigue during shooting.,basketball,PID060
CID019,25,Catcher's Mitt X,Mitt,Well-padded catcher's mitt for comfortable wear and superior impact protection.,baseball,PID010
CID019,25,Tour Champ Ball Marker Set,Ball Markers,Small discs used to mark the position of a golf ball,golf,PID046
CID020,27,Pitching Target Net,Net,Portable net for practicing pitching accuracy and pitch development.,baseball,PID017
CID021,39,SkyBounce Basketball by Triple Threat,Ball,Competition-grade basketball with exceptional grip and consistent bounce.,basketball,PID049
CID021,39,AirRise Portable Basketball Hoop,Hoop,Portable basketball hoop with an inflatable base for easy setup and storage.,basketball,PID056
CID022,64,Team Spirit Mesh Jersey (Customizable),Jersey,Breathable and customizable mesh jersey for showcasing team spirit or individual style.,basketball,PID058
CID023,22,DuraNet (Set of 4),Equipment,Heavy-duty corner flags with weighted bases for secure positioning and weather resistance.,soccer,PID006
CID024,31,Frostbite Hockey Gloves,Gloves,Thermally insulated hockey gloves for superior comfort and grip in cold arenas.,hockey,PID021
CID025,56,SkyBounce Basketball by Triple Threat,Ball,Competition-grade basketball with exceptional grip and consistent bounce.,basketball,PID049
CID026,38,Drive Master Irons (Set of 7),Iron Set,Golf clubs for long-distance shots,golf,PID027
CID027,28,Whisper Quiet Cart Umbrella,Golf Umbrella,Large umbrella designed for use on a golf cart,golf,PID032
CID028,64,Baseball Cleats (Metal),Cleats,Metal cleats for maximum traction on dirt fields.,baseball,PID016
CID029,51,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID030,21,Sure-Strike Impact Mat,Practice Mat,Mat for practicing hitting golf balls,golf,PID037
CID030,21,Sliding Shorts,Pants,Padded sliding shorts for protection during slides into bases.,baseball,PID018
CID031,41,Smooth Stroke Putting Cup,Putting Cup,Training aid to improve putting accuracy,golf,PID042
CID032,20,Grip Master Practice Swing Tool,Swing Trainer,Tool to strengthen grip muscles,golf,PID045
CID032,20,Sky High Distance Balls (Dozen),Golf Balls,High-performance balls for maximum distance,golf,PID044
CID032,20,DuraNet (Set of 4),Equipment,Heavy-duty corner flags with weighted bases for secure positioning and weather resistance.,soccer,PID006
CID032,20,GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
CID032,20,Aqua-Grip Golf Gloves,Golf Gloves,Improve grip on the club,golf,PID035
CID032,20,eScore Portable Scoreboard,Equipment,Portable scoreboard for keeping track of points during games or practice.,basketball,PID052
CID032,20,Zen Putting Green (Indoor),Putting Green,Artificial turf for practicing putting,golf,PID038
CID033,26,Titan X,Shin Guards,Lightweight and breathable shin guards with impact-absorbing padding for optimal protection.,soccer,PID000
CID034,15,Eagle Eye Rangefinder,Rangefinder,Device to measure distance to the green,golf,PID034
CID035,31,CrossOver Magic Dribbling Aid,Training Aid,Hand-held training aid to improve dribbling skills and ball handling.,basketball,PID050
CID036,37,HandBlaze Warmers (Reusable),Warm Up,Reusable hand warmers to keep hands warm during cold weather games.,basketball,PID055
CID037,44,IceShield Shin Guards,Shin Guards,Durable shin guards with impact-absorbing padding for optimal protection.,hockey,PID020
CID038,21,Hawkkeye Putting Putter,Putter,Golf club for putting on the green,golf,PID028
CID039,51,Mini Defender,Shin Guards,Smaller sized shin guards designed for optimal protection and comfort for young players.,soccer,PID008
CID040,53,Aqua-Grip Golf Gloves,Golf Gloves,Improve grip on the club,golf,PID035
CID041,55,FreeFlow Shooting Shirt,Shirt,Comfortable shooting shirt with a relaxed fit for unrestricted movement.,basketball,PID061
CID042,50,Catcher's Mitt X,Mitt,Well-padded catcher's mitt for comfortable wear and superior impact protection.,baseball,PID010
CID043,60,Kinetix Knee Brace X,Support,High-performance knee brace for added support and protection during play.,basketball,PID057
CID044,42,IceShield Shin Guards,Shin Guards,Durable shin guards with impact-absorbing padding for optimal protection.,hockey,PID020
CID045,28,Net Guardian Hockey Net,Net,Durable hockey net designed to withstand powerful slapshots.,hockey,PID026
CID045,28,BackCourt Back Support by Rebound RX,Support,Breathable back support for improved posture and pain relief.,basketball,PID048
CID045,28,Laser Line Putting Laser,Putting Laser,Projects a laser line to aid putting alignment,golf,PID043
CID046,22,SkyBounce Basketball by Triple Threat,Ball,Competition-grade basketball with exceptional grip and consistent bounce.,basketball,PID049
CID046,22,Net Guardian Hockey Net,Net,Durable hockey net designed to withstand powerful slapshots.,hockey,PID026
CID046,22,Laser Line Putting Laser,Putting Laser,Projects a laser line to aid putting alignment,golf,PID043
CID046,22,Pitching Target Net,Net,Portable net for practicing pitching accuracy and pitch development.,baseball,PID017
CID046,22,AnkleShield Pro by AirStride,Support,Adjustable ankle brace for added stability and support during play.,basketball,PID047
CID046,22,Eagle Eye Rangefinder,Rangefinder,Device to measure distance to the green,golf,PID034
CID046,22,Team Spirit Mesh Jersey (Customizable),Jersey,Breathable and customizable mesh jersey for showcasing team spirit or individual style.,basketball,PID058
CID047,63,Batting Gloves (Youth),Gloves,Comfortable and lightweight batting gloves with finger protection for young players.,baseball,PID013
CID048,46,Titan X,Shin Guards,Lightweight and breathable shin guards with impact-absorbing padding for optimal protection.,soccer,PID000
CID049,40,Eagle Grip,Gloves,Premium goalkeeper gloves with exceptional grip and finger protection for confident saves.,soccer,PID003
CID050,18,Eagle Eye Rangefinder,Rangefinder,Device to measure distance to the green,golf,PID034
CID051,51,Tour Champ Ball Marker Set,Ball Markers,Small discs used to mark the position of a golf ball,golf,PID046
CID052,63,Power Swing Training Aid,Swing Trainer,Tool to improve golf swing mechanics,golf,PID039
CID053,26,eScore Portable Scoreboard,Equipment,Portable scoreboard for keeping track of points during games or practice.,basketball,PID052
CID053,26,DuraNet (Set of 4),Equipment,Heavy-duty corner flags with weighted bases for secure positioning and weather resistance.,soccer,PID006
CID053,26,QuickStrike Performance Shorts,Shorts,Lightweight and moisture-wicking shorts for optimal comfort and performance.,basketball,PID059
CID053,26,Pro Touch,Ball,Durable training soccer ball with a textured surface for improved ball control and touch.,soccer,PID002
CID053,26,Aluminum Bat X300,Bat,Durable and lightweight aluminum bat for developing young baseball players.,baseball,PID011
CID053,26,GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
CID053,26,Eagle Eye Rangefinder,Rangefinder,Device to measure distance to the green,golf,PID034
CID053,26,CrossOver Magic Dribbling Aid,Training Aid,Hand-held training aid to improve dribbling skills and ball handling.,basketball,PID050
CID053,26,HandBlaze Warmers (Reusable),Warm Up,Reusable hand warmers to keep hands warm during cold weather games.,basketball,PID055
CID054,25,SonicWind Hockey Stick,Stick,Lightweight and responsive hockey stick for optimal performance on the ice.,hockey,PID019
CID055,24,SonicWind Hockey Stick,Stick,Lightweight and responsive hockey stick for optimal performance on the ice.,hockey,PID019
CID056,31,FreeFlow Shooting Shirt,Shirt,Comfortable shooting shirt with a relaxed fit for unrestricted movement.,basketball,PID061
CID057,24,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID058,39,Titan X,Shin Guards,Lightweight and breathable shin guards with impact-absorbing padding for optimal protection.,soccer,PID000
CID059,16,Sure-Strike Impact Mat,Practice Mat,Mat for practicing hitting golf balls,golf,PID037
CID060,33,Baseball Caps (Team Custom),Hats,Customizable baseball caps to show team spirit.,baseball,PID015
CID061,19,Kinetix Knee Brace X,Support,High-performance knee brace for added support and protection during play.,basketball,PID057
CID061,19,FreeFlow Shooting Shirt,Shirt,Comfortable shooting shirt with a relaxed fit for unrestricted movement.,basketball,PID061
CID061,19,GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
CID061,19,Sonic Blast,Whistle,High-pitched whistle with a clear and loud sound for effective communication on the field.,soccer,PID005
CID061,19,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID061,19,Air Master,Equipment,Portable and easy-to-use ball pump with a pressure gauge for inflating soccer balls to the desired pressure.,soccer,PID009
CID061,19,Agility Pro (Set of 10),Training Aid,Set of brightly colored cones for creating drills and improving agility.,soccer,PID004
CID062,60,Pitching Target Net,Net,Portable net for practicing pitching accuracy and pitch development.,baseball,PID017
CID063,49,SonicWind Hockey Stick,Stick,Lightweight and responsive hockey stick for optimal performance on the ice.,hockey,PID019
CID064,54,Mini Hoop (Size 6),Ball,Smaller sized basketball for younger players to develop proper grip and shooting mechanics.,basketball,PID065
CID065,37,Hawkkeye Putting Putter,Putter,Golf club for putting on the green,golf,PID028
CID066,17,Power Swing Training Aid,Swing Trainer,Tool to improve golf swing mechanics,golf,PID039
CID067,44,Kinetix Knee Brace X,Support,High-performance knee brace for added support and protection during play.,basketball,PID057
CID068,36,Sonic Blast,Whistle,High-pitched whistle with a clear and loud sound for effective communication on the field.,soccer,PID005
CID069,59,Sure-Strike Impact Mat,Practice Mat,Mat for practicing hitting golf balls,golf,PID037
CID070,39,Catcher's Mitt X,Mitt,Well-padded catcher's mitt for comfortable wear and superior impact protection.,baseball,PID010
CID071,24,Mini Hoop (Size 6),Ball,Smaller sized basketball for younger players to develop proper grip and shooting mechanics.,basketball,PID065
CID072,21,Baseball Backpack,Bag,Durable backpack with compartments for storing baseball equipment.,baseball,PID014
CID073,25,Eagle Grip,Gloves,Premium goalkeeper gloves with exceptional grip and finger protection for confident saves.,soccer,PID003
CID073,25,Kinetix Knee Brace X,Support,High-performance knee brace for added support and protection during play.,basketball,PID057
CID073,25,DuraNet (Set of 4),Equipment,Heavy-duty corner flags with weighted bases for secure positioning and weather resistance.,soccer,PID006
CID073,25,Batting Gloves (Youth),Gloves,Comfortable and lightweight batting gloves with finger protection for young players.,baseball,PID013
CID073,25,Catcher's Mitt X,Mitt,Well-padded catcher's mitt for comfortable wear and superior impact protection.,baseball,PID010
CID073,25,Pro Touch,Ball,Durable training soccer ball with a textured surface for improved ball control and touch.,soccer,PID002
CID074,22,Grip Master Practice Swing Tool,Swing Trainer,Tool to strengthen grip muscles,golf,PID045
CID075,46,TrueFit Shoulder Pads,Pads,Adjustable shoulder pads for a comfortable and secure fit.,hockey,PID023
CID076,27,Mini Hoop (Size 6),Ball,Smaller sized basketball for younger players to develop proper grip and shooting mechanics.,basketball,PID065
CID077,54,TrueFit Shoulder Pads,Pads,Adjustable shoulder pads for a comfortable and secure fit.,hockey,PID023
CID078,25,SkyBounce Basketball by Triple Threat,Ball,Competition-grade basketball with exceptional grip and consistent bounce.,basketball,PID049
CID079,60,Finger Flex Sleeves (4-Pack),Support,Set of supportive finger sleeves to protect against injuries.,basketball,PID053
CID080,64,Tour Lite Stand Bag,Golf Bag,Portable bag to carry golf clubs,golf,PID031
CID081,59,Laser Line Putting Laser,Putting Laser,Projects a laser line to aid putting alignment,golf,PID043
CID081,59,Frostbite Hockey Gloves,Gloves,Thermally insulated hockey gloves for superior comfort and grip in cold arenas.,hockey,PID021
CID082,36,Drive Master Irons (Set of 7),Iron Set,Golf clubs for long-distance shots,golf,PID027
CID083,38,Aero X Distance Driver,Driver,Golf club for the longest distance shots,golf,PID029
CID084,62,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID085,23,AnkleShield Pro by AirStride,Support,Adjustable ankle brace for added stability and support during play.,basketball,PID047
CID086,57,Arc Shot Compression Sleeve,Sleeve,Compression sleeve for promoting blood flow and reducing muscle fatigue during shooting.,basketball,PID060
CID087,48,Pitching Target Net,Net,Portable net for practicing pitching accuracy and pitch development.,baseball,PID017
CID088,46,Tempest Waterproof Jacket,Golf Jacket,Waterproof jacket for playing in wet conditions,golf,PID036
CID089,44,Baseball Caps (Team Custom),Hats,Customizable baseball caps to show team spirit.,baseball,PID015
CID090,29,Eagle Eye Rangefinder,Rangefinder,Device to measure distance to the green,golf,PID034
CID091,51,AnkleShield Pro by AirStride,Support,Adjustable ankle brace for added stability and support during play.,basketball,PID047
CID092,38,Power Swing Training Aid,Swing Trainer,Tool to improve golf swing mechanics,golf,PID039
CID092,38,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID092,38,Sky High Distance Balls (Dozen),Golf Balls,High-performance balls for maximum distance,golf,PID044
CID092,38,SkyBounce Basketball by Triple Threat,Ball,Competition-grade basketball with exceptional grip and consistent bounce.,basketball,PID049
CID093,61,Flight Path Alignment Sticks (Set of 3),Alignment Sticks,Rods used to visualize clubface and swing path,golf,PID041
CID094,33,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID095,46,Cyclone Spin Wedges (Set of 4),Wedge Set,Golf clubs for short-distance shots with high spin,golf,PID030
CID096,61,SkyBounce Basketball by Triple Threat,Ball,Competition-grade basketball with exceptional grip and consistent bounce.,basketball,PID049
CID097,29,Pro Touch,Ball,Durable training soccer ball with a textured surface for improved ball control and touch.,soccer,PID002
CID097,29,Air Master,Equipment,Portable and easy-to-use ball pump with a pressure gauge for inflating soccer balls to the desired pressure.,soccer,PID009
CID097,29,SonicWind Hockey Stick,Stick,Lightweight and responsive hockey stick for optimal performance on the ice.,hockey,PID019
CID097,29,Finger Flex Sleeves (4-Pack),Support,Set of supportive finger sleeves to protect against injuries.,basketball,PID053
CID097,29,Sky High Distance Balls (Dozen),Golf Balls,High-performance balls for maximum distance,golf,PID044
CID097,29,Power Swing Training Aid,Swing Trainer,Tool to improve golf swing mechanics,golf,PID039
CID097,29,Eagle Eye Rangefinder,Rangefinder,Device to measure distance to the green,golf,PID034
CID098,53,PowerShot Hockey Puck,Puck,Regulation-sized hockey puck for professional-grade performance.,hockey,PID025
CID099,44,Baseball Backpack,Bag,Durable backpack with compartments for storing baseball equipment.,baseball,PID014
CID100,50,Aluminum Bat X300,Bat,Durable and lightweight aluminum bat for developing young baseball players.,baseball,PID011
CID100,50,Kinetix Knee Brace X,Support,High-performance knee brace for added support and protection during play.,basketball,PID057
CID100,50,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID100,50,AirRise Portable Basketball Hoop,Hoop,Portable basketball hoop with an inflatable base for easy setup and storage.,basketball,PID056
CID100,50,Eagle Eye Rangefinder,Rangefinder,Device to measure distance to the green,golf,PID034
CID100,50,CrossOver Magic Dribbling Aid,Training Aid,Hand-held training aid to improve dribbling skills and ball handling.,basketball,PID050
CID100,50,AnkleShield Pro by AirStride,Support,Adjustable ankle brace for added stability and support during play.,basketball,PID047
CID100,50,Agility Pro (Set of 10),Training Aid,Set of brightly colored cones for creating drills and improving agility.,soccer,PID004
CID100,50,Aero X Distance Driver,Driver,Golf club for the longest distance shots,golf,PID029
CID101,41,Air Master,Equipment,Portable and easy-to-use ball pump with a pressure gauge for inflating soccer balls to the desired pressure.,soccer,PID009
CID102,22,Batting Gloves (Youth),Gloves,Comfortable and lightweight batting gloves with finger protection for young players.,baseball,PID013
CID102,22,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID102,22,X-Factor Hockey Helmet,Helmet,High-impact hockey helmet with superior ventilation for maximum comfort and safety.,hockey,PID024
CID102,22,FreeFlow Shooting Shirt,Shirt,Comfortable shooting shirt with a relaxed fit for unrestricted movement.,basketball,PID061
CID102,22,Baseball Backpack,Bag,Durable backpack with compartments for storing baseball equipment.,baseball,PID014
CID103,25,Grip Master Practice Swing Tool,Swing Trainer,Tool to strengthen grip muscles,golf,PID045
CID104,62,Tour Champ Ball Marker Set,Ball Markers,Small discs used to mark the position of a golf ball,golf,PID046
CID104,62,Pro Touch,Ball,Durable training soccer ball with a textured surface for improved ball control and touch.,soccer,PID002
CID104,62,GripZone Enhancer Spray,Grip,Spray-on solution for enhancing grip on the basketball for improved control.,basketball,PID054
CID104,62,SweatStopper Wristbands,Sweatband,Absorbent wristbands to keep sweat out of your eyes during play.,basketball,PID064
CID105,20,Hawkkeye Putting Putter,Putter,Golf club for putting on the green,golf,PID028
CID106,47,Zen Putting Green (Indoor),Putting Green,Artificial turf for practicing putting,golf,PID038
CID107,20,Aero X Distance Driver,Driver,Golf club for the longest distance shots,golf,PID029
CID108,44,Sonic Blast,Whistle,High-pitched whistle with a clear and loud sound for effective communication on the field.,soccer,PID005
CID109,44,Sonic Blast,Whistle,High-pitched whistle with a clear and loud sound for effective communication on the field.,soccer,PID005
CID109,44,Frostbite Hockey Gloves,Gloves,Thermally insulated hockey gloves for superior comfort and grip in cold arenas.,hockey,PID021
CID109,44,Batting Gloves (Youth),Gloves,Comfortable and lightweight batting gloves with finger protection for young players.,baseball,PID013
CID109,44,Power Swing Training Aid,Swing Trainer,Tool to improve golf swing mechanics,golf,PID039
CID109,44,Sure-Strike Impact Mat,Practice Mat,Mat for practicing hitting golf balls,golf,PID037
CID109,44,QuickStrike Performance Shorts,Shorts,Lightweight and moisture-wicking shorts for optimal comfort and performance.,basketball,PID059
CID109,44,CrossOver Magic Dribbling Aid,Training Aid,Hand-held training aid to improve dribbling skills and ball handling.,basketball,PID050
CID110,49,Sonic Blast,Whistle,High-pitched whistle with a clear and loud sound for effective communication on the field.,soccer,PID005
CID111,48,Drive Master Irons (Set of 7),Iron Set,Golf clubs for long-distance shots,golf,PID027
CID112,45,Batting Gloves (Youth),Gloves,Comfortable and lightweight batting gloves with finger protection for young players.,baseball,PID013
CID112,45,Pitching Target Net,Net,Portable net for practicing pitching accuracy and pitch development.,baseball,PID017
CID112,45,Air Master,Equipment,Portable and easy-to-use ball pump with a pressure gauge for inflating soccer balls to the desired pressure.,soccer,PID009
CID112,45,Catcher's Mitt X,Mitt,Well-padded catcher's mitt for comfortable wear and superior impact protection.,baseball,PID010
CID112,45,Sliding Shorts,Pants,Padded sliding shorts for protection during slides into bases.,baseball,PID018
CID112,45,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID112,45,SweatStopper Wristbands,Sweatband,Absorbent wristbands to keep sweat out of your eyes during play.,basketball,PID064
CID112,45,Aluminum Bat X300,Bat,Durable and lightweight aluminum bat for developing young baseball players.,baseball,PID011
CID112,45,Frostbite Hockey Gloves,Gloves,Thermally insulated hockey gloves for superior comfort and grip in cold arenas.,hockey,PID021
CID113,30,IceShield Shin Guards,Shin Guards,Durable shin guards with impact-absorbing padding for optimal protection.,hockey,PID020
CID114,16,SonicWind Hockey Stick,Stick,Lightweight and responsive hockey stick for optimal performance on the ice.,hockey,PID019
CID114,16,Team Spirit Mesh Jersey (Customizable),Jersey,Breathable and customizable mesh jersey for showcasing team spirit or individual style.,basketball,PID058
CID114,16,Kinetix Knee Brace X,Support,High-performance knee brace for added support and protection during play.,basketball,PID057
CID114,16,HyperFlex Elbow Pads,Pads,Flexible and lightweight elbow pads for unrestricted movement and enhanced protection.,hockey,PID022
CID114,16,Agility Pro (Set of 10),Training Aid,Set of brightly colored cones for creating drills and improving agility.,soccer,PID004
CID114,16,Eagle Grip,Gloves,Premium goalkeeper gloves with exceptional grip and finger protection for confident saves.,soccer,PID003
CID115,41,Flight Path Alignment Sticks (Set of 3),Alignment Sticks,Rods used to visualize clubface and swing path,golf,PID041
CID115,41,Greenkeeper Ball Retriever,Ball Retriever,Tool to retrieve golf balls from water hazards,golf,PID033
CID115,41,Mini Defender,Shin Guards,Smaller sized shin guards designed for optimal protection and comfort for young players.,soccer,PID008
CID115,41,Sky High Distance Balls (Dozen),Golf Balls,High-performance balls for maximum distance,golf,PID044
CID115,41,Smooth Stroke Putting Cup,Putting Cup,Training aid to improve putting accuracy,golf,PID042
CID115,41,FreeFlow Shooting Shirt,Shirt,Comfortable shooting shirt with a relaxed fit for unrestricted movement.,basketball,PID061
CID115,41,QuickStrike Performance Shorts,Shorts,Lightweight and moisture-wicking shorts for optimal comfort and performance.,basketball,PID059
CID116,62,GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
CID116,62,Agility Pro (Set of 10),Training Aid,Set of brightly colored cones for creating drills and improving agility.,soccer,PID004
CID116,62,Aero X Distance Driver,Driver,Golf club for the longest distance shots,golf,PID029
CID116,62,Sure-Strike Impact Mat,Practice Mat,Mat for practicing hitting golf balls,golf,PID037
CID117,38,Batting Gloves (Youth),Gloves,Comfortable and lightweight batting gloves with finger protection for young players.,baseball,PID013
CID118,36,Whisper Quiet Cart Umbrella,Golf Umbrella,Large umbrella designed for use on a golf cart,golf,PID032
CID119,29,QuickStrike Performance Shorts,Shorts,Lightweight and moisture-wicking shorts for optimal comfort and performance.,basketball,PID059
CID120,35,Eagle Eye Rangefinder,Rangefinder,Device to measure distance to the green,golf,PID034
CID120,35,Arc Shot Compression Sleeve,Sleeve,Compression sleeve for promoting blood flow and reducing muscle fatigue during shooting.,basketball,PID060
CID120,35,BackCourt Back Support by Rebound RX,Support,Breathable back support for improved posture and pain relief.,basketball,PID048
CID121,42,Titan X,Shin Guards,Lightweight and breathable shin guards with impact-absorbing padding for optimal protection.,soccer,PID000
CID122,46,Tempest Waterproof Jacket,Golf Jacket,Waterproof jacket for playing in wet conditions,golf,PID036
CID123,60,Pro Touch,Ball,Durable training soccer ball with a textured surface for improved ball control and touch.,soccer,PID002
CID124,35,HyperFlex Elbow Pads,Pads,Flexible and lightweight elbow pads for unrestricted movement and enhanced protection.,hockey,PID022
CID125,26,Finger Flex Sleeves (4-Pack),Support,Set of supportive finger sleeves to protect against injuries.,basketball,PID053
CID125,26,HyperFlex Elbow Pads,Pads,Flexible and lightweight elbow pads for unrestricted movement and enhanced protection.,hockey,PID022
CID125,26,Smooth Stroke Putting Cup,Putting Cup,Training aid to improve putting accuracy,golf,PID042
CID125,26,Titan X,Shin Guards,Lightweight and breathable shin guards with impact-absorbing padding for optimal protection.,soccer,PID000
CID125,26,Laser Line Putting Laser,Putting Laser,Projects a laser line to aid putting alignment,golf,PID043
CID126,21,Aqua-Grip Golf Gloves,Golf Gloves,Improve grip on the club,golf,PID035
CID127,38,Drive Master Irons (Set of 7),Iron Set,Golf clubs for long-distance shots,golf,PID027
CID128,38,PowerShot Hockey Puck,Puck,Regulation-sized hockey puck for professional-grade performance.,hockey,PID025
CID128,38,Batting Gloves (Youth),Gloves,Comfortable and lightweight batting gloves with finger protection for young players.,baseball,PID013
CID128,38,Tempest Waterproof Jacket,Golf Jacket,Waterproof jacket for playing in wet conditions,golf,PID036
CID128,38,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID128,38,Air Master,Equipment,Portable and easy-to-use ball pump with a pressure gauge for inflating soccer balls to the desired pressure.,soccer,PID009
CID129,21,Baseball Caps (Team Custom),Hats,Customizable baseball caps to show team spirit.,baseball,PID015
CID130,59,Aluminum Bat X300,Bat,Durable and lightweight aluminum bat for developing young baseball players.,baseball,PID011
CID131,26,Sure-Strike Impact Mat,Practice Mat,Mat for practicing hitting golf balls,golf,PID037
CID132,58,SweatStopper Wristbands,Sweatband,Absorbent wristbands to keep sweat out of your eyes during play.,basketball,PID064
